                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.93873,                0.67202,                 1.1922,                0.97292,                0.94866,                0.95988,                0.56282,                 1.3781,                0.55342,                 1.6688,             0.00049506,             0.00049506,             0.00049506
                     58,                0.91493,                0.65489,                 1.1781,                0.96718,                0.91316,                0.96397,                0.55723,                 1.4305,                0.56823,                 1.7118,             0.00048406,             0.00048406,             0.00048406
                     59,                0.89996,                0.66853,                 1.1606,                0.94157,                0.91522,                0.96522,                0.55446,                 1.4404,                0.58887,                 1.7745,             0.00047306,             0.00047306,             0.00047306
                     60,                 0.8899,                0.65713,                  1.178,                0.95852,                0.93473,                0.98004,                0.57012,                  1.404,                0.56406,                 1.7566,             0.00046206,             0.00046206,             0.00046206
                     61,                0.88186,                0.65483,                 1.1738,                0.97886,                0.94467,                0.98275,                0.57292,                 1.3944,                0.52765,                 1.7173,             0.00045107,             0.00045107,             0.00045107
                     62,                0.86684,                 0.6497,                 1.1519,                0.96949,                0.91449,                0.96592,                0.54305,                 1.4438,                0.58313,                 1.7698,             0.00044007,             0.00044007,             0.00044007
                     63,                0.90263,                0.68916,                 1.1718,                0.97195,                0.95176,                0.97004,                0.54038,                 1.4708,                0.56118,                 1.7987,             0.00042907,             0.00042907,             0.00042907
                     64,                0.87244,                0.65694,                 1.1607,                0.97324,                0.95005,                0.96944,                0.55854,                  1.431,                0.56811,                 1.7712,             0.00041807,             0.00041807,             0.00041807
                     65,                0.87572,                0.65304,                 1.1539,                0.96914,                0.94332,                0.97345,                 0.5624,                 1.4252,                0.53165,                 1.7505,             0.00040707,             0.00040707,             0.00040707
                     66,                0.87622,                0.62998,                 1.1566,                0.97796,                0.94415,                0.98173,                0.57249,                 1.3884,                0.55896,                  1.718,             0.00039607,             0.00039607,             0.00039607
                     67,                0.84788,                0.61868,                 1.1411,                0.95533,                0.90292,                0.96217,                0.55666,                 1.4428,                0.61102,                 1.7741,             0.00038507,             0.00038507,             0.00038507
                     68,                0.86703,                 0.6337,                 1.1681,                0.97787,                0.94711,                0.96093,                0.56393,                 1.4186,                0.52711,                 1.7762,             0.00037407,             0.00037407,             0.00037407
                     69,                0.82614,                0.59347,                 1.1363,                 0.9656,                0.94365,                0.96317,                 0.5694,                 1.4023,                0.52382,                 1.7866,             0.00036307,             0.00036307,             0.00036307
                     70,                0.82185,                0.61237,                 1.1319,                0.94381,                0.96307,                0.96704,                 0.5676,                 1.4153,                0.54412,                 1.7838,             0.00035208,             0.00035208,             0.00035208
                     71,                0.83805,                0.59477,                 1.1459,                0.95522,                0.95254,                0.96652,                 0.5609,                 1.4218,                0.54005,                 1.7702,             0.00034108,             0.00034108,             0.00034108
                     72,                 0.8122,                0.57337,                 1.1241,                0.95632,                0.95616,                0.96937,                0.57221,                 1.4154,                0.53792,                 1.7536,             0.00033008,             0.00033008,             0.00033008
                     73,                0.82405,                0.58655,                 1.1203,                0.97263,                0.96307,                0.95688,                0.56138,                 1.4086,                0.52918,                 1.7428,             0.00031908,             0.00031908,             0.00031908
                     74,                0.82761,                0.59528,                 1.1353,                0.96587,                0.93985,                0.96576,                0.57145,                 1.3866,                0.53158,                 1.7298,             0.00030808,             0.00030808,             0.00030808
                     75,                0.83701,                0.57386,                 1.1396,                0.96812,                0.93009,                0.96718,                0.55827,                 1.3976,                0.54502,                 1.7517,             0.00029708,             0.00029708,             0.00029708
                     76,                0.81021,                0.57769,                 1.1314,                0.97264,                0.92793,                0.96531,                 0.5549,                 1.4151,                0.53953,                  1.769,             0.00028608,             0.00028608,             0.00028608
                     77,                 0.8105,                0.56603,                 1.1228,                0.98104,                0.93052,                0.96992,                0.56448,                 1.4448,                0.53206,                 1.8591,             0.00027508,             0.00027508,             0.00027508
                     78,                0.78533,                0.53445,                 1.0937,                0.97751,                0.94438,                0.96802,                0.55657,                 1.4964,                0.53544,                 1.9177,             0.00026408,             0.00026408,             0.00026408
                     79,                0.81309,                 0.5896,                 1.1154,                0.95528,                0.96307,                0.97041,                 0.5683,                 1.4346,                0.51058,                 1.8241,             0.00025309,             0.00025309,             0.00025309
                     80,                0.80113,                0.54361,                 1.1223,                0.94517,                0.96307,                0.96941,                0.55091,                 1.4663,                0.52355,                 1.8176,             0.00024209,             0.00024209,             0.00024209
                     81,                0.77719,                0.56497,                 1.0976,                0.94957,                0.93965,                 0.9657,                0.55924,                 1.4456,                0.52832,                  1.797,             0.00023109,             0.00023109,             0.00023109
                     82,                0.76815,                0.55079,                 1.1045,                0.95792,                0.97088,                0.97038,                0.56199,                 1.4239,                0.51294,                 1.8014,             0.00022009,             0.00022009,             0.00022009
                     83,                 0.7617,                0.54682,                 1.0951,                 0.9664,                0.95104,                 0.9715,                0.56193,                 1.4316,                0.51183,                 1.8193,             0.00020909,             0.00020909,             0.00020909
                     84,                0.76921,                0.54817,                 1.0909,                0.97913,                0.91993,                0.96842,                0.56296,                 1.4433,                0.52678,                 1.8304,             0.00019809,             0.00019809,             0.00019809
                     85,                0.74854,                0.54871,                 1.0872,                0.95008,                0.94609,                0.96889,                0.55954,                  1.436,                0.53049,                 1.8208,             0.00018709,             0.00018709,             0.00018709
                     86,                0.77716,                0.54481,                 1.1049,                0.94507,                0.94043,                0.96639,                 0.5573,                 1.4335,                0.54422,                 1.8407,             0.00017609,             0.00017609,             0.00017609
                     87,                0.74749,                0.52429,                 1.0891,                0.95402,                0.93398,                0.97196,                0.55941,                 1.4451,                0.54669,                 1.8533,             0.00016509,             0.00016509,             0.00016509
                     88,                0.76294,                0.53433,                 1.1103,                0.95946,                0.91221,                0.96787,                0.55617,                 1.4392,                0.56281,                 1.8235,              0.0001541,              0.0001541,              0.0001541
                     89,                0.74637,                0.53349,                  1.093,                 0.9538,                 0.9265,                0.96864,                0.55619,                 1.4484,                0.56142,                 1.8302,              0.0001431,              0.0001431,              0.0001431
                     90,                0.73313,                0.51368,                 1.0836,                0.95256,                0.93422,                  0.969,                0.55995,                 1.4291,                0.56215,                 1.8093,              0.0001321,              0.0001321,              0.0001321
