                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.77065,                0.52905,                  1.099,                0.98409,                0.96415,                0.98093,                0.57675,                 1.3505,                0.44334,                 1.8429,              0.0003268,              0.0003268,              0.0003268
                     70,                0.77742,                0.53916,                 1.1126,                0.98424,                0.96367,                 0.9808,                0.57873,                 1.3336,                0.44527,                 1.8081,              0.0003169,              0.0003169,              0.0003169
                     71,                0.78716,                0.55097,                 1.1161,                0.97863,                 0.9647,                0.97846,                0.56649,                 1.3852,                0.47368,                 1.9081,               0.000307,               0.000307,               0.000307
                     72,                0.77504,                0.52734,                 1.1105,                0.97364,                0.95943,                0.96896,                0.57049,                 1.3392,                0.48046,                  1.837,              0.0002971,              0.0002971,              0.0002971
                     73,                0.76619,                0.54505,                 1.0978,                 0.9625,                0.95628,                0.96102,                0.56544,                 1.3448,                0.46965,                 1.8166,              0.0002872,              0.0002872,              0.0002872
                     74,                0.73891,                0.53057,                 1.0884,                0.97379,                0.94514,                0.96982,                0.57233,                 1.3497,                0.48789,                 1.8492,              0.0002773,              0.0002773,              0.0002773
                     75,                0.75768,                0.53382,                  1.112,                0.96833,                0.95748,                0.96349,                0.55902,                 1.3453,                0.48006,                  1.872,              0.0002674,              0.0002674,              0.0002674
                     76,                0.73855,                0.49949,                 1.0922,                0.97561,                0.95498,                0.96414,                0.56661,                 1.3428,                0.47329,                 1.8995,              0.0002575,              0.0002575,              0.0002575
                     77,                0.74938,                0.50049,                 1.0985,                0.98232,                 0.9544,                0.97262,                0.56325,                 1.3505,                0.45987,                 1.8944,              0.0002476,              0.0002476,              0.0002476
                     78,                0.74781,                0.52976,                 1.0965,                0.98004,                0.95435,                0.97467,                0.56945,                 1.3227,                0.44988,                 1.8327,              0.0002377,              0.0002377,              0.0002377
                     79,                0.71809,                0.49336,                 1.0706,                0.98243,                0.95455,                0.97412,                0.58063,                 1.3273,                0.45222,                 1.9032,              0.0002278,              0.0002278,              0.0002278
                     80,                0.71818,                0.50449,                 1.0747,                0.98325,                 0.9544,                0.96598,                0.56142,                 1.3528,                0.46999,                 1.8961,              0.0002179,              0.0002179,              0.0002179
                     81,                0.72582,                 0.5146,                  1.084,                0.98276,                0.95951,                0.97649,                0.56123,                  1.353,                0.46592,                  1.888,               0.000208,               0.000208,               0.000208
